Full Address,Latitude,Longitude,NH No.,"No of fatalities 
 (2008 to 
 2010)",Reasons for frequent accidents
Srikakulam Navabharath Junction ,18.2949165,83.8938018,16,12,
West Godavari Tetali 'Y' Junction ,16.7598792,81.6651538,16,22,
do ASRAM Hospital ,,,16,19,
do Kaikaram Center ,16.8102442,81.3646896,16,16,
Nellore Maddurpadu ,14.9539713,79.9989895,16,40,
Kurnool Enugumarri Village ,15.299862,77.7895476,44,25,
do Pudicherlametta ,15.7064437,78.1283344,40,23,
"do Bharath Petrol Bunk, Near Ungaraanikunta Village ",,,44,34,
"Karimnagar Arora Junior College, Koratla ",18.4385553,79.1288412,63,36,
Medak Palpanooru 'X' Road ,18.0529357,78.261853,65,29,
Medak Near RTA Checkpost area ,18.0529357,78.261853,65,23,
Medak Pothireddy Palli ,18.0529357,78.261853,65,14,
Nizamabad rAdluru Yellareddy 'T' Junction ,18.6725047,78.0940867,44,14,
do Balakonda Junction ,,,44,44,
do Perkiti 'X' Road ,,,63,18,
Adilbad Indaram ,19.6640624,78.5320107,63,18,
Cyberabad rGangagpahad ,,,44,17,
do Kothapeta 'X' Road ,,,65,28,
do Uppal 'X' Road ,,,163,44,
do Medchal ,17.6323358,78.4804828,44,54,
do Miyapur ,17.5169014,78.3428304,65,23,
Mahabubnagar Thimmapur Village ,16.6242879,78.0052678,44,18,
do Vemula Stage ,,,44,32,
"Nalgonda Veliminada Bridge, Near Hanuman ",17.0574663,79.2684169,65,34,
do Pedakaparthy Bus Stage ,17.2404672,79.0736854,65,28,